Entry	Protein names	Gene names	Length	Region
P40578	Protein MGA2	MGA2 YIR033W	1113	REGION 91..114;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 344..376;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 437..462;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 658..687;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P43564	Probable lipase MIL1 (EC 3.1.1.-) (Medium adaptin-interacting ligand 1)	MIL1 YFL034W	1073	REGION 1..151;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 163..190;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 230..267;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 385..448;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 942..968;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 1010..1073;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P53129	Vacuolar fusion protein MON1 (Autophagy-related protein 12) (Monensin sensitivity protein 1)	MON1 AUT12 YGL124C G2889	644	REGION 64..85;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P38920	DNA mismatch repair protein MLH1 (MutL protein homolog 1) (Post meiotic segregation protein 2)	MLH1 PMS2 YMR167W YM8520.16	769	REGION 1..335;  /note="DNA- and ATP-binding"; REGION 422..480;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 501..756;  /note="Interaction with PMS1"
P38077	ATP synthase subunit gamma, mitochondrial (F-ATPase gamma subunit)	ATP3 ATP3a ATP3b YBR039W YBR0408	311	
P32453	Protein ATP11, mitochondrial	ATP11 YNL315C N0357	318	
P30283	S-phase entry cyclin-5	CLB5 YPR120C P9642.8	435	REGION 36..70;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 104..126;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P41811	Coatomer subunit beta' (Beta'-coat protein) (Beta'-COP)	SEC27 YGL137W G2827	889	REGION 806..889;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P06106	Homocysteine/cysteine synthase (EC 2.5.1.47) (EC 2.5.1.49) (O-acetylserine/O-acetylhomoserine sulfhydrylase) (OAS-OAH SHLase) (OAS-OAH sulfhydrylase)	MET17 MET15 MET25 YLR303W L8003.1	444	
P47133	ER membrane protein complex subunit 2	EMC2 YJR088C J1875	292	
P24814	SCF E3 ubiquitin ligase complex F-box protein GRR1 (F-box and leucine-rich repeat protein GRR1) (F-box/LRR-repeat protein GRR1)	GRR1 CAT80 COT2 YJR090C J1885	1151	REGION 1..72;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 1066..1090;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 1118..1151;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P16151	Protein ERD1	ERD1 YDR414C D9461.4	362	
P53290	GTP-binding protein GTR2	GTR2 YGR163W	341	
P40956	Protein GTS1 (Protein LSR1)	GTS1 LSR1 YGL181W	396	REGION 148..194;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 233..266;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
Q07872	Epsin-4	ENT4 YLL038C	247	REGION 179..247;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P40214	Protein FDO1 (FKH1-interacting protein involved in donor preference)	FDO1 YMR144W YM9375.13	342	REGION 1..36;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 57..76;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 299..322;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P43574	Transcriptional regulatory protein GAT1	GAT1 YFL021W	510	REGION 220..311;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 358..383;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P40325	Proline-rich protein HUA1	HUA1 YGR268C	198	REGION 1..86;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P27809	Glycolipid 2-alpha-mannosyltransferase (EC 2.4.1.-) (Alpha-1,2-mannosyltransferase)	KRE2 MNT1 YDR483W D8035.26	442	REGION 31..118;  /note="Stem region"; REGION 68..95;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 119..442;  /note="Catalytic"
P42838	Alkylphosphocholine resistance protein LEM3 (Brefeldin-A sensitivity protein 3) (Ro-sensitive 3)	LEM3 BRE3 ROS3 YNL323W N0333	414	REGION 20..52;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P14681	Mitogen-activated protein kinase KSS1 (MAP kinase KSS1) (EC 2.7.11.24) (Kinase suppressor of SST2)	KSS1 YGR040W	368	
P38691	Serine/threonine-protein kinase KSP1 (EC 2.7.11.1)	KSP1 YHR082C	1029	REGION 56..105;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 377..397;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 532..570;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 732..824;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 949..978;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P35688	Rho-GTPase-activating protein LRG1 (LIM-RhoGAP protein 1)	LRG1 YDL240W	1017	REGION 570..602;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P34078	Protein LTV1 (Low-temperature viability protein 1)	LTV1 YKL143W YKL2	463	REGION 37..63;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 284..345;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 426..463;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P47032	Protein PRY1 (Pathogenesis-related protein 1)	PRY1 YJL079C J1022	299	REGION 103..157;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
Q08235	Ribosome biogenesis protein BRX1	BRX1 YOL077C	291	
P53744	7-keto 8-aminopelargonic acid transporter (KAPA transporter)	BIO5 YNR056C N3502	561	
P53314	2',3'-cyclic-nucleotide 3'-phosphodiesterase (CPDase) (EC 3.1.4.37)	CPD1 YGR247W	239	
Q03375	Pre-mRNA-splicing factor CWC21 (Complexed with CEF1 protein 21)	CWC21 YDR482C	135	REGION 1..67;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 53..97;  /note="Interaction with PRP8";  /evidence="ECO:0000269|PubMed:19854871"; REGION 110..135;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
Q12517	mRNA-decapping enzyme subunit 1	DCP1 YOL149W	231	REGION 92..120;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
Q06151	m7GpppX diphosphatase (EC 3.6.1.59) (DCS-1) (Hint-related 7meGMP-directed hydrolase 1) (Protein Dcs1p) (Scavenger mRNA-decapping enzyme DcpS)	DCS1 YLR270W	350	REGION 259..270;  /note="Substrate binding";  /evidence="ECO:0000250"
Q12178	Cytosine deaminase (yCD) (EC 3.5.4.1) (Cytosine aminohydrolase) (Fluorocytosine resistance protein 1)	FCY1 YPR062W YP9499.17	158	
P17064	Purine-cytosine permease FCY2 (PCP FCY2) (Cytosine/purine transport protein FCY2) (Fluorocytosine resistance protein 2)	FCY2 YER056C	533	REGION 165..184;  /note="Surface seeking";  /evidence="ECO:0000255"
P35732	RNA polymerase II degradation factor 1 (RRM3-interacting protein 1)	DEF1 RIP1 VID31 YKL054C YKL308	738	REGION 69..455;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 467..503;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 640..688;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
Q12248	DASH complex subunit DAD1 (DUO1 and DAM1-interacting protein 1) (Outer kinetochore protein DAD1)	DAD1 YDR016C	94	
P39521	Pre-rRNA-processing protein FHL1	FHL1 YPR104C P8283.15	936	REGION 1..90;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 139..169;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 243..270;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 384..442;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 718..936;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P40491	ATP synthase assembly factor FMC1, mitochondrial (Formation of mitochondrial complexes protein 1)	FMC1 YIL098C	155	
Q08558	Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase (EC 5.3.3.-)	DCI1 ECI2 EHD2 YOR180C	271	REGION 62..66;  /note="Substrate binding";  /evidence="ECO:0000250|UniProtKB:Q05871"
P20447	ATP-dependent RNA helicase DBP3 (EC 3.6.4.13) (DEAD box protein 3) (Helicase CA3)	DBP3 YGL078C	523	REGION 1..71;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P32325	DDK kinase regulatory subunit DBF4 (Dumbbell forming protein 4)	DBF4 DNA52 YDR052C D4205 YD9609.07C	704	REGION 10..19;  /note="D box 1"; REGION 62..70;  /note="D box 2"; REGION 397..453;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P38225	Very long-chain fatty acid transport protein (EC 6.2.1.-) (Very-long-chain acyl-CoA synthetase) (VLCS)	FAT1 YBR041W YBR0411	669	
P0CH64	Cyanamide hydratase DDI3 (CAH) (EC 4.2.1.69) (DNA damage-inducible protein 3)	DDI3 YNL335W N0280	225	
P39704	Protein ERP2	ERP2 YAL007C FUN54	215	
P53198	Protein ERP6	ERP6 YGL002W	216	
Q12403	Protein ERP3	ERP3 YDL018C D2850	225	REGION 129..149;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P09201	Fructose-1,6-bisphosphatase (FBPase) (EC 3.1.3.11) (D-fructose-1,6-bisphosphate 1-phosphohydrolase)	FBP1 YLR377C L8039.18	348	REGION 131..134;  /note="Substrate binding";  /evidence="ECO:0000250|UniProtKB:P00636"; REGION 222..225;  /note="Substrate binding";  /evidence="ECO:0000250|UniProtKB:P00636"; REGION 255..260;  /note="Substrate binding";  /evidence="ECO:0000250|UniProtKB:P00636"; REGION 286..288;  /note="Substrate binding";  /evidence="ECO:0000250|UniProtKB:P00636"
Q05926	Glutaredoxin-8 (Glutathione-dependent oxidoreductase 8)	GRX8 YLR364W	109	
P10961	Heat shock transcription factor (HSTF) (Heat shock factor protein) (HSF)	HSF1 YGL073W	833	REGION 1..31;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 62..92;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 150..170;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 260..280;  /note="Flexible linker";  /evidence="ECO:0000269|PubMed:8175654"; REGION 277..309;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 350..403;  /note="Involved in trimerization";  /evidence="ECO:0000250|UniProtKB:P22121"; REGION 447..493;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 542..626;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 657..765;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 778..799;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P19807	Choline transport protein	HNM1 CTR CTR1 YGL077C	563	REGION 1..25;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
Q12347	F-box protein HRT3 (High level expression reduces Ty3 transposition protein 3)	HRT3 YLR097C	344	
P47175	Probable transcription factor HMS2 (High-copy MEP suppressor 2)	HMS2 YJR147W J2204	358	
Q04329	Interacting with cytoskeleton protein 1	ICY1 YMR195W YM9646.08	127	
P21954	Isocitrate dehydrogenase [NADP], mitochondrial (IDH) (EC 1.1.1.42) (IDP) (NADP(+)-specific ICDH) (Oxalosuccinate decarboxylase)	IDP1 YDL066W	428	REGION 110..116;  /note="Substrate binding";  /evidence="ECO:0000250"
P28241	Isocitrate dehydrogenase [NAD] subunit 2, mitochondrial (EC 1.1.1.41) (Isocitric dehydrogenase) (NAD(+)-specific ICDH)	IDH2 YOR136W O3326 YOR3326W	369	
P47185	Hexose transporter HXT16	HXT16 YJR158W J2260	567	REGION 1..32;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 533..555;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P53219	Probable alcohol acetyltransferase (AAT) (EC 2.3.1.-) (Intermediate cleaved by mitochondrial octapeptidyl aminopeptidase protein 32)	IMO32 YGR031W	342	
P32488	Increasing suppression factor 1 (Mitochondrial biogenesis regulation protein 3)	ISF1 MBR3 YMR081C YM9582.06C	338	REGION 50..75;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 267..322;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P38697	Inosine-5'-monophosphate dehydrogenase 2 (IMP dehydrogenase 2) (IMPD 2) (IMPDH 2) (EC 1.1.1.205)	IMD2 PUR5 YHR216W	523	REGION 368..370;  /note="IMP binding";  /evidence="ECO:0000255|HAMAP-Rule:MF_03156"; REGION 391..392;  /note="IMP binding";  /evidence="ECO:0000255|HAMAP-Rule:MF_03156"; REGION 415..419;  /note="IMP binding";  /evidence="ECO:0000255|HAMAP-Rule:MF_03156"
P40559	Phosphatidylinositol 4,5-bisphosphate 5-phosphatase INP51 (EC 3.1.3.36) (Synaptojanin-like protein 1)	INP51 SJL1 YIL002C YIA2C	946	REGION 872..902;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 927..946;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P25338	2-hydroxy-palmitic acid dioxygenase MPO1 (EC 1.14.18.12) (Metabolism of phytosphingosine to odd-numbered fatty acids protein 1) (Metabolism of PHS to odd-numbered FA protein 1)	MPO1 YGL010W YGL021	174	
P08638	Regulatory protein LEU3	LEU3 YLR451W L9324.1	886	REGION 1..28;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 673..709;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 734..756;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P25586	KRR1 small subunit processome component (KRR-R motif-containing protein 1) (Ribosomal RNA assembly protein KRR1)	KRR1 YCL059C YCL59C	316	REGION 279..316;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P38800	Membrane-anchored lipid-binding protein LAM4 (Lipid transfer at contact site protein 3) (Lipid transfer protein anchored at membrane contact sites 1)	LAM4 LTC3 YHR080C	1345	REGION 51..80;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 115..134;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 139..164;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 190..302;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 356..397;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 425..447;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 489..531;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 665..722;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 930..963;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 1141..1172;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P04173	3-isopropylmalate dehydrogenase (3-IPM-DH) (IMDH) (EC 1.1.1.85) (Beta-IPM dehydrogenase)	LEU2 YCL018W YCL18W	364	
P35192	Metal-binding activator 1	MAC1 CUA1 YMR021C YM9711.11C	417	REGION 128..198;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 216..242;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 264..337;  /note="2 X 16 AA repeat of C-X-C-X(4)-C-X-C-X-X-C-X-X-H"
P40495	Homoisocitrate dehydrogenase, mitochondrial (HIcDH) (EC 1.1.1.87)	LYS12 LYS10 LYS11 YIL094C YI9910.02C	371	
P50945	MICOS complex subunit MIC27 (Altered inheritance of mitochondria protein 37) (Mitochondrial contact site complex 27 kDa subunit)	MIC27 AIM37 MCS27 YNL100W N2190	234	
Q04922	Mitochondrial F-box protein MFB1	MFB1 YDR219C	465	REGION 253..279;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P40534	Pheromone-regulated membrane protein 2	PRM2 YIL037C	656	
Q12417	Pre-mRNA-splicing factor PRP46 (Complexed with CEF1 protein 1) (PRP nineteen-associated complex protein 50) (PRP19-associated complex protein 50) (Pre-mRNA-processing protein 46)	PRP46 CWC1 NTC50 YPL151C P2594	451	
P25355	Copper transport protein 86	CTR86 YCR054C YCR54C	563	REGION 544..563;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P14832	Peptidyl-prolyl cis-trans isomerase (PPIase) (EC 5.2.1.8) (Cyclophilin) (CPH) (Cyclosporin A-binding protein) (PPI-II) (Rotamase)	CPR1 CPH1 CYP1 SCC1 YDR155C YD8358.10C	162	
P89105	RNA polymerase-associated protein CTR9 (Centromere-binding factor 1-dependent protein 1) (Cln three-requiring protein 9)	CTR9 CDP1 YOL145C	1077	REGION 959..1077;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P53202	Cullin-3 (Cullin-B)	CUL3 YGR003W	744	
P47050	Cullin-8 (Cullin-C) (Regulator of Ty1 transposition protein 101)	RTT101 CUL8 YJL047C J1166	842	REGION 1..50;  /note="Required for interaction with MMS1"; REGION 755..775;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P15315	Transcriptional activator protein CUP2 (Copper-fist transcription factor)	CUP2 ACE1 YGL166W G1810	225	REGION 1..108;  /note="Binds copper and DNA"; REGION 109..225;  /note="Required for transcriptional activation"
Q05080	Cytokinesis protein 2 (Homolog of CDC15 protein 1)	HOF1 CYK2 YMR032W YM9973.05	669	REGION 372..518;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P00045	Cytochrome c isoform 2 (Iso-2-cytochrome c) (Cytochrome c hypoxic isoform)	CYC7 CYP3 YEL039C	113	
P43634	Activatory protein CHA4	CHA4 SIL2 SIL3 YLR098C L8004.8	648	REGION 1..37;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 140..177;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P32501	Translation initiation factor eIF-2B subunit epsilon (GCD complex subunit GCD6) (Guanine nucleotide exchange factor subunit GCD6) (eIF-2B GDP-GTP exchange factor subunit epsilon)	GCD6 TIF225 YDR211W YD8142.12 YD8142B.03	712	REGION 1..20;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
Q04067	Eukaryotic translation initiation factor 3 subunit G (eIF3g) (Eukaryotic translation initiation factor 3 RNA-binding subunit) (eIF-3 RNA-binding subunit) (Translation initiation factor eIF3 p33 subunit) (eIF3 p33)	TIF35 YDR429C D9461.16	274	REGION 137..186;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
Q08913	Fluoride export protein 1	FEX1 YOR390W	375	
P46984	EKC/KEOPS complex subunit GON7 (Low-dye-binding protein 6) (Polarized growth chromatin-associated controller 2)	GON7 LDB6 PCC2 YJL184W J0420	123	REGION 1..63;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
Q04080	GPI transamidase component GPI17	GPI17 YDR434W D9461.20	534	
Q07830	GPI ethanolamine phosphate transferase 3 (EC 2.-.-.-) (Glycosylphosphatidylinositol-anchor biosynthesis protein 13)	GPI13 MPC1 YLL031C	1017	
P53631	Hexose transporter HXT17	HXT17 YNR072W N3615	564	REGION 1..22;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P47145	Putative lipase LIH1 (EC 3.1.1.3) (Lipase homolog 1)	LIH1 YJR107W J1983	328	
P42834	Mitochondrial DnaJ homolog 2	MDJ2 YNL328C N0315	146	
P47164	Cystathionine gamma-synthase (EC 2.5.1.48) (O-succinylhomoserine (thiol)-lyase) (Sulfur transfer protein 2)	STR2 YJR130C J2063	639	
P36118	Pre-mRNA-splicing factor NTR2 (Nineteen complex-related protein 2) (NTC-related protein 2)	NTR2 YKR022C	322	REGION 1..30;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 113..137;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
Q02630	Nucleoporin NUP116/NSP116 (Nuclear pore protein NUP116/NSP116)	NUP116 NSP116 YMR047C YM9532.12C	1113	REGION 1..35;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 49..91;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 92..172;  /note="Interaction with AFG2";  /evidence="ECO:0000269|PubMed:23185031"; REGION 110..166;  /note="GLE2 binding sequence (GLEBS)"; REGION 160..362;  /note="Interaction with MEX67, not KAP95";  /evidence="ECO:0000269|PubMed:11104765"; REGION 265..341;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 362..535;  /note="Sufficient for interaction with MEX67 and KAP95";  /evidence="ECO:0000269|PubMed:11104765"; REGION 371..606;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 536..732;  /note="Interaction with KAP95, not MEX67"; REGION 678..736;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 868..939;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 967..1113;  /note="Interaction with NUP82 NPC subcomplex"; REGION 969..1108;  /note="Nucleoporin RNA-binding motif (NRM)"
P38126	Pachytene checkpoint protein 2	PCH2 YBR186W YBR1308	564	
P29468	Poly(A) polymerase (PAP) (EC 2.7.7.19) (Polynucleotide adenylyltransferase)	PAP1 YKR002W	568	REGION 525..568;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
Q05568	Peroxisome biogenesis factor 10 (Peroxin-10) (Peroxisomal biogenesis factor 10) (Peroxisome assembly protein 10)	PEX10 PAS4 YDR265W D9954.8	337	
P53900	Prefoldin subunit 4 (Genes involved in microtubule biogenesis protein 3) (Gim complex subunit 3) (GimC subunit 3)	GIM3 PFD4 YNL153C N1761	129	
P38148	Dual specificity protein phosphatase PPS1 (EC 3.1.3.16) (EC 3.1.3.48)	PPS1 YBR276C YBR2013	807	REGION 593..807;  /note="Catalytic"
