Entry	Gene.names	Protein.names
P38216	YBR016W	Uncharacterized protein YBR016W
D6VPM8	YAR023C	Putative DUP240 protein YAR023C
P32386	YBT1	ATP-dependent bile acid permease
Q8TGK4	YBR298C-A	Uncharacterized protein YBR298C-A
P38616	YGP1	Protein YGP1 (GP38)
Q06493	YLH47	LETM1 domain-containing protein YLH47, mitochondrial (LETM1 homolog)
P0CX62	TY2A-GR2	Transposon Ty2-GR2 Gag polyprotein (TY2A) (TYA) (Transposon Ty2 protein A) [Cleaved into: Capsid protein (CA); Gag-p4]
P0C5N4	YHR073C-B	Uncharacterized protein YHR073C-B
P53265	YGR111W	Uncharacterized protein YGR111W
P38727	YHL044W	DUP240 protein YHL044W
P53209	YGR016W	Uncharacterized membrane protein YGR016W
P36153	YKR073C	Uncharacterized protein YKR073C
Q02896	YDC1	Alkaline ceramidase YDC1 (EC 3.5.1.-) (Acyl-CoA-independent ceramide synthase)
Q7LHG5	TY3B-I	Transposon Ty3-I Gag-Pol polyprotein (Gag3-Pol3) (Transposon Ty3-2 TYA-TYB polyprotein) [Cleaved into: Capsid protein (CA) (p24); Spacer peptide p3; Nucleocapsid protein p11 (NC); Ty3 protease (PR) (EC 3.4.23.-) (p16); Spacer peptide J; Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4) (p55); Integrase p52 (IN); Integrase p49 (IN)]
P0C5P3	YKL145W-A	Uncharacterized protein YKL145W-A
P46992	YJL171C	Cell wall protein YJL171C
Q04814	YMR252C	Uncharacterized protein YMR252C
P40103	YER188W	Uncharacterized protein YER188W
Q12324	YVC1	Calcium channel YVC1 (TRP homolog) (Yeast vacuolar conductance protein 1)
Q3E807	YOR011W-A	Uncharacterized protein YOR011W-A
Q12351	YOR012W	Uncharacterized protein YOR012W
P41920	YRB1	Ran-specific GTPase-activating protein 1 (Chromosome stability protein 20) (Perinuclear array-localized protein) (Ran-binding protein 1) (RANBP1)
Q12010	YPQ1	Probable vacuolar amino acid transporter YPQ1 (PQ-loop repeat-containing protein 1)
P38815	YPT35	PX domain-containing protein YPT35
Q08504	YOR105W	Uncharacterized protein YOR105W
Q12439	TY2A-OR1	Transposon Ty2-OR1 Gag polyprotein (TY2A) (TYA) (Transposon Ty2 protein A) [Cleaved into: Capsid protein (CA); Gag-p4]
P53870	YNL193W	Uncharacterized protein YNL193W
P53748	YNR062C	Uncharacterized membrane protein YNR062C
P53921	YNL122C	54S ribosomal protein bL35m (Mitochondrial large ribosomal subunit protein bL35m)
P0C5N3	YGL041W-A	Uncharacterized protein YGL041W-A, mitochondrial
P53212	YGR021W	Probable transcriptional regulatory protein HAH1
P53234	YGR053C	Uncharacterized protein YGR053C
P47098	TY1B-JR1	Transposon Ty1-JR1 Gag-Pol polyprotein (Gag-Pol-p199) (TY1A-TY1B) (Transposon Ty1 TYA-TYB polyprotein) (p190) [Cleaved into: Capsid protein (CA) (Gag-p45) (p54); Ty1 protease (PR) (EC 3.4.23.-) (Pol-p20) (p23); Integrase (IN) (Pol-p71) (p84) (p90); Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4) (Pol-p63) (p60)]
P40519	YIL060W	Uncharacterized protein YIL060W
P36158	YKR078W	Uncharacterized protein YKR078W
P39999	YEL014C	Uncharacterized protein YEL014C
P36092	YKL044W	Uncharacterized protein YKL044W
P25654	YCR090C	UPF0587 protein YCR090C
P47157	YJR120W	Putative uncharacterized protein YJR120W
P36083	YKL075C	Uncharacterized protein YKL075C
P40889	YJL225C	Y' element ATP-dependent helicase YJL225C (EC 3.6.4.12)
Q8TGT2	YKL096C-B	Uncharacterized protein YKL096C-B
P0C272	YOL013W-A	Uncharacterized protein YOL013W-A
Q08560	YOR186W	Putative uncharacterized protein YOR186W
P40323	YPL073C	Uncharacterized protein YPL073C
P40105	YRF1-2	Y' element ATP-dependent helicase protein 1 copy 2 (EC 3.6.4.12)
P0CX14	YRF1-3	Y' element ATP-dependent helicase protein 1 copy 3 (EC 3.6.4.12)
Q06107	YPR114W	Uncharacterized TLC domain-containing protein YPR114W
Q08270	YOL131W	Uncharacterized protein YOL131W
Q08974	YPL257W	Uncharacterized membrane protein YPL257W
Q99337	TY1B-NL2	Transposon Ty1-NL2 Gag-Pol polyprotein (Gag-Pol-p199) (TY1A-TY1B) (Transposon Ty1 TYA-TYB polyprotein) (p190) [Cleaved into: Capsid protein (CA) (Gag-p45) (p54); Ty1 protease (PR) (EC 3.4.23.-) (Pol-p20) (p23); Integrase (IN) (Pol-p71) (p84) (p90); Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4) (Pol-p63) (p60)]
P53932	YNL095C	Uncharacterized transporter YNL095C
P40021	ZRG8	Zinc-regulated protein 8
P39967	UBP9	Ubiquitin carboxyl-terminal hydrolase 9 (EC 3.4.19.12) (Deubiquitinating enzyme 9) (Ubiquitin thioesterase 9) (Ubiquitin-specific-processing protease 9)
P34223	SHP1	UBX domain-containing protein 1 (Suppressor of high-copy PP1 protein)
P25591	VAC17	vacuole-related protein 17 (Vacuole-specific MYO2 receptor VAC17)
P53950	VAC7	Vacuolar segregation protein 7
P47061	VPS53	Vacuolar protein sorting-associated protein 53
P52917	VPS4	Vacuolar protein sorting-associated protein 4 (DOA4-independent degradation protein 6) (Protein END13) (Vacuolar protein-targeting protein 10)
Q3E787	YCR095W-A	Putative uncharacterized protein YCR095W-A
P38311	YBR209W	Uncharacterized protein YBR209W
P38887	YHR202W	Uncharacterized protein YHR202W
P0C5N6	YHR032W-A	Uncharacterized protein YHR032W-A
P53120	YGL140C	Uncharacterized membrane protein YGL140C
Q8TGT8	YGR174W-A	Uncharacterized protein YGR174W-A
P0CX96	YGR296C-B	UPF0479 membrane protein YGR296C-B
Q03780	YDR239C	Uncharacterized protein YDR239C
Q06199	YLR456W	Pyridoxamine 5'-phosphate oxidase YLR456W homolog (PNP/PMP oxidase YLR456W homolog) (PNPOx YLR456W homolog)
P53093	YIP4	Protein YIP4 (YPT-interacting protein 4)
P40579	YIR035C	Uncharacterized oxidoreductase YIR035C (EC 1.-.-.-)
P40556	YIA6	Mitochondrial nicotinamide adenine dinucleotide transporter 1 (Mitochondrial NAD(+) transporter 1)
P40538	YIL029C	Uncharacterized protein YIL029C
P36086	YKL071W	Uncharacterized oxidoreductase YKL071W
P37265	YCR041W	Uncharacterized protein YCR041W
P38690	YHR033W	Uncharacterized protein YHR033W
Q12257	YDL177C	IMPACT family member YDL177C
P38841	YHR138C	Uncharacterized protein YHR138C
P47086	YJR011C	Uncharacterized protein YJR011C
P42826	XKS1	Xylulose kinase (Xylulokinase) (EC 2.7.1.17)
Q3E821	YBL008W-A	Uncharacterized protein YBL008W-A
P37263	YCR087C-A	UPF0743 protein YCR087C-A
Q3E820	YBR196C-A	Uncharacterized protein YBR196C-A
P34225	YEL1	Guanine-nucleotide exchange factor YEL1 (EFA6-like protein 1)
P0C5N7	YHR073W-A	Uncharacterized protein YHR073W-A
Q04033	YDR415C	Probable aminopeptidase YDR415C (EC 3.4.11.-)
P40095	YER158C	Uncharacterized protein YER158C
Q05510	YDR344C	Uncharacterized protein YDR344C
Q03483	TY2A-DR2	Transposon Ty2-DR2 Gag polyprotein (TY2A) (TYA) (Transposon Ty2 protein A) [Cleaved into: Capsid protein (CA); Gag-p4]
P53183	YGL039W	Putative uncharacterized oxidoreductase YGL039W (EC 1.1.1.-)
Q3E6R4	YDR524C-B	Uncharacterized protein YDR524C-B
Q03559	YMR295C	Uncharacterized protein YMR295C
Q3E7B0	YER053C-A	Uncharacterized protein YER053C-A
P40104	YER189W	Uncharacterized protein YER189W
P0CX20	YRF1-1	Y' element ATP-dependent helicase protein 1 copy 1 (EC 3.6.4.12)
P40583	YPS6	Aspartic proteinase yapsin-6 (EC 3.4.23.-)
Q08930	YPL191C	Ubiquitin carboxyl-terminal hydrolase MIY1 (EC 3.4.19.12) (Deubiquitinating enzyme MIY1)
Q3E769	YOL159C-A	Uncharacterized protein YOL159C-A
P40168	YNL195C	Uncharacterized protein YNL195C
P19358	SAM2	S-adenosylmethionine synthase 2 (AdoMet synthase 2) (EC 2.5.1.6) (Methionine adenosyltransferase 2) (MAT 2)
P32389	MET4	Transcriptional activator of sulfur metabolism MET4 (Methionine-requiring protein 4)
P08465	MET2	Homoserine O-acetyltransferase (EC 2.3.1.31) (Homoserine O-trans-acetylase)
P25338	MPO1	2-hydroxy-palmitic acid dioxygenase MPO1 (EC 1.14.18.12) (Metabolism of phytosphingosine to odd-numbered fatty acids protein 1) (Metabolism of PHS to odd-numbered FA protein 1)
P53311	MPC3	Mitochondrial pyruvate carrier 3 (MPC3) (Protein FMP43)
P36163	OMA1	Mitochondrial metalloendopeptidase OMA1 (EC 3.4.24.-)
Q03266	ABZ2	Aminodeoxychorismate lyase (EC 4.1.3.38) (4-amino-4-deoxychorismate lyase) (ADC lyase) (ADCL)
Q05637	PHM6	Phosphate metabolism protein 6
P39952	OXA1	Mitochondrial inner membrane protein OXA1 (Cytochrome oxidase biogenesis protein OXA1) (Oxidase assembly protein 1)
P16862	PFK2	ATP-dependent 6-phosphofructokinase subunit beta (EC 2.7.1.11) (ATP-dependent 6-phosphofructokinase) (ATP-PFK) (Phosphofructokinase 2) (Phosphohexokinase)
P03962	URA3	Orotidine 5'-phosphate decarboxylase (EC 4.1.1.23) (OMP decarboxylase) (OMPDCase) (OMPdecase) (Uridine 5'-monophosphate synthase) (UMP synthase)
P38227	QDR3	Quinidine resistance protein 3 (Acids quinidine resistance protein 2)
P47148	PXP2	Peroxisomal protein 2
Q00245	RHO3	GTP-binding protein RHO3
P35196	RER2	Dehydrodolichyl diphosphate synthase complex subunit RER2 (DEDOL-PP synthase) (EC 2.5.1.87) (Ditrans,polycis-polyprenyl diphosphate synthase ((2E,6E)-farnesyl diphosphate specific))
P0CX54	RPL12B	60S ribosomal protein L12-B (L15) (Large ribosomal subunit protein uL11-B) (YL23)
Q92325	LAG2	Cullin-associated NEDD8-dissociated protein 1 homolog (CAND1 homolog) (Longevity-assurance protein 2)
P33441	MFT1	THO complex subunit MFT1 (Mitochondrial fusion target protein 1)
P47169	MET5	Sulfite reductase [NADPH] subunit beta (EC 1.8.1.2) (Extracellular mutant protein 17)
P38162	MIX23	Mitochondrial intermembrane space cysteine motif-containing protein MIX23 (Mitochondrial intermembrane space CX(n)C motif protein of 23 kDa)
P21339	MSB1	Morphogenesis-related protein MSB1 (Multicopy suppressor of bud emergence 1)
P33201	MRT4	Ribosome assembly factor MRT4 (mRNA turnover protein 4)
P40562	MPH1	ATP-dependent DNA helicase MPH1 (EC 3.6.4.12) (FANCM-like protein 1) (Mutator phenotype protein 1)
P53320	MTM1	Mitochondrial carrier protein MTM1 (Manganese trafficking factor for mitochondrial SOD2)
P27929	NAM9	37S ribosomal protein NAM9, mitochondrial (Mitochondrial small ribosomal subunit protein uS4m) (Nuclear accommodation of mitochondria protein 9)
Q12408	NPC2	Phosphatidylglycerol/phosphatidylinositol transfer protein (PG/PI-TP) (NPC2 homolog)
Q06287	EMG1	Ribosomal RNA small subunit methyltransferase NEP1 (EC 2.1.1.260) (18S rRNA (pseudouridine(1189)-N1)-methyltransferase) (18S rRNA Psi1189 methyltransferase) (Essential for mitotic growth protein 1) (Nucleolar essential protein 1)
P38757	NEM1	Nuclear envelope morphology protein 1 (EC 3.1.3.16)
P08466	NUC1	Mitochondrial nuclease (EC 3.1.30.-)
P53718	NRM1	Transcription factor NRM1 (Negative regulator of MBF targets 1)
P38826	ORC6	Origin recognition complex subunit 6 (ACS-associated protein 1) (Origin recognition complex 50 kDa subunit)
P0CE89	PAU14	Seripauperin-14
P28795	PEX3	Peroxisomal biogenesis factor 3 (Peroxin-3)
Q03880	PKR1	V-type ATPase assembly factor PKR1
P32345	PPH3	Serine/threonine-protein phosphatase 4 catalytic subunit (PP4C) (EC 3.1.3.16) (Phosphatase PP2A-like catalytic subunit PPH3)
Q07800	PSR1	Phosphatase PSR1 (EC 3.1.3.-) (Plasma membrane sodium response protein 1)
P39006	PSD1	Phosphatidylserine decarboxylase proenzyme 1, mitochondrial (EC 4.1.1.65) [Cleaved into: Phosphatidylserine decarboxylase 1 beta chain; Phosphatidylserine decarboxylase 1 alpha chain]
P46943	GUF1	Translation factor GUF1, mitochondrial (EC 3.6.5.-) (Elongation factor 4 homolog) (EF-4) (GTPase GUF1) (Ribosomal back-translocase)
P53153	LCL3	Probable endonuclease LCL3 (EC 3.1.-.-) (Long chronological lifespan protein 3)
P38304	MED8	Mediator of RNA polymerase II transcription subunit 8 (Mediator complex subunit 8)
Q02205	MEH1	Protein MEH1 (EGO complex subunit 1) (GSE complex subunit 2)
P53163	MNP1	54S ribosomal protein L12, mitochondrial (Mitochondrial large ribosomal subunit protein bL12m) (Mitochondrial-nucleoid protein 1)
P32499	NUP2	Nucleoporin NUP2 (Nuclear pore protein NUP2) (p95)
P52553	YKE2	Prefoldin subunit 6 (Genes involved in microtubule biogenesis protein 1) (Gim complex subunit 1) (GimC subunit 1)
P40476	PRM5	Pheromone-regulated membrane protein 5
P53167	PUS2	tRNA pseudouridine(27/28) synthase (EC 5.4.99.44) (tRNA pseudouridine synthase 2) (tRNA pseudouridylate synthase 2) (tRNA-uridine isomerase 2)
P36166	PXL1	Paxillin-like protein 1
Q12753	HAA1	Transcriptional activator HAA1
P41546	HAC1	Transcriptional activator HAC1
P53154	GUP1	Membrane-bound O-acyltransferase GUP1 (Glycerol uptake protein 1)
P39982	HHY1	Hypersensitivity to hygromycin-B protein 1
P10961	HSF1	Heat shock transcription factor (HSTF) (Heat shock factor protein) (HSF)
P50079	HSV2	SVP1-like protein 2
P0CY09	HMLALPHA2	Silenced mating-type protein ALPHA2 (MATalpha2 protein) (Alpha-2 repressor)
Q05549	HRQ1	ATP-dependent helicase HRQ1 (EC 3.6.4.12) (Homologous to recQ protein 1)
Q02959	HOS3	Histone deacetylase HOS3 (EC 3.5.1.98)
P32478	HSP150	Cell wall mannoprotein HSP150 (150 kDa heat shock glycoprotein) (Covalently-linked cell wall protein 7) (Protein with internal repeats 2)
P53897	IGO1	mRNA stability protein IGO1 (Initiation of G zero protein 1)
Q04934	IVY1	Protein IVY1 (Interaction with VPS33 and YPT7 protein 1)
P38692	KIC1	Serine/threonine-protein kinase KIC1 (EC 2.7.11.1) (Kinase that interacts with CDC31) (N-rich kinase 1)
P27809	KRE2	Glycolipid 2-alpha-mannosyltransferase (EC 2.4.1.-) (Alpha-1,2-mannosyltransferase)
P32490	MKK1	MAP kinase kinase MKK1/SSP32 (EC 2.7.12.2)
P40578	MGA2	Protein MGA2
P38075	PDX3	Pyridoxamine 5'-phosphate oxidase (EC 1.4.3.5) (PNP/PMP oxidase) (PNPOx)
P31115	DEG1	tRNA pseudouridine(38/39) synthase (EC 5.4.99.45) (Depressed growth-rate protein DEG1) (tRNA pseudouridine synthase 3) (tRNA pseudouridylate synthase 3) (tRNA-uridine isomerase 3)
P53294	PUS6	tRNA pseudouridine(31) synthase (EC 5.4.99.42) (Pseudouridine synthase 6) (Pseudouridylate synthase 6) (Uracil hydrolyase) (tRNA pseudouridine 31 synthase) (PSI31 synthase)
P10862	RAD18	Postreplication repair E3 ubiquitin-protein ligase RAD18 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase RAD18) (Radiation sensitivity protein 18)
P29539	RIF1	Telomere length regulator protein RIF1 (RAP1-interacting factor 1)
P16387	PDA1	Pyruvate dehydrogenase E1 component subunit alpha, mitochondrial (EC 1.2.4.1) (Pyruvate dehydrogenase complex component E1 alpha) (PDHE1-A)
Q99297	ODC2	Mitochondrial 2-oxodicarboxylate carrier 2
Q06593	OPT2	Oligopeptide transporter 2
P40025	PHM8	Phosphate metabolism protein 8
P51533	PDR10	ATP-dependent permease PDR10
Q08952	OXR1	Oxidation resistance protein 1
P38744	YHL018W	Putative pterin-4-alpha-carbinolamine dehydratase (PHS) (EC 4.2.1.96) (4-alpha-hydroxy-tetrahydropterin dehydratase) (Pterin carbinolamine dehydratase) (PCD)
P32634	PMD1	Negative regulator of sporulation PMD1
P19736	PRP9	Pre-mRNA-splicing factor PRP9
P40302	PRE5	Proteasome subunit alpha type-6 (Macropain subunit PRE5) (Multicatalytic endopeptidase complex subunit PRE5) (Proteasome component PRE5) (Proteinase YSCE subunit PRE5)
P25339	PUF4	Pumilio homology domain family member 4
P25044	PTP1	Tyrosine-protein phosphatase 1 (EC 3.1.3.48) (Protein-tyrosine phosphatase 1) (PTPase 1)
P53893	RIA1	Ribosome assembly protein 1 (EC 3.6.5.-) (EF-2-like GTPase) (Elongation factor-like 1)
P39083	RGA1	Rho-type GTPase-activating protein 1
P05743	RPL26A	60S ribosomal protein L26-A (L33) (Large ribosomal subunit protein uL24-A) (YL33)
P33401	PGM1	Phosphoglucomutase 1 (PGM 1) (EC 5.4.2.2) (Glucose phosphomutase 1)
P32495	NHP2	H/ACA ribonucleoprotein complex subunit NHP2 (H/ACA snoRNP protein NHP2) (High mobility group-like nuclear protein 2)
P34909	MOT2	General negative regulator of transcription subunit 4 (Modulator of transcription 2)
Q02629	NUP100	Nucleoporin NUP100/NSP100 (Nuclear pore protein NUP100/NSP100)
P53259	PCP1	Rhomboid protein 1, mitochondrial (EC 3.4.21.105) (Mitochondrial distribution and morphology protein 37) (Processing of cytochrome c peroxidase protein 1)
P32609	PEP7	Vacuolar segregation protein PEP7 (Carboxypeptidase Y-deficient protein 7) (Protein VAC1) (Vacuolar protein sorting-associated protein 19) (Vacuolar protein-targeting protein 19)
P38244	PFF1	Vacuolar membrane protease (EC 3.4.-.-) (FXNA-related family protease 1)
P19881	PHO13	4-nitrophenylphosphatase (PNPPase) (EC 3.1.3.41)
P40187	PIG2	GSY2-interacting protein PIG2
Q02771	PET117	Protein PET117, mitochondrial
P32628	RAD23	UV excision repair protein RAD23
Q08760	RAX1	Bud site selection protein RAX1 (Revert to axial protein 1)
P19541	RDS2	Regulator of drug sensitivity 2
P21651	REC107	Recombination protein 107 (Meiotic recombination protein 2)
P53295	RBG2	Ribosome-interacting GTPase 2 (GTP-binding protein RBG2)
P39531	RCY1	Recyclin-1
Q08237	REX4	RNA exonuclease 4 (EC 3.1.-.-)
P41821	MID1	Stretch-activated cation channel MID1 (Mating pheromone-induced death protein 2)
Q08818	MSC6	Meiotic sister-chromatid recombination protein 6, mitochondrial
P30952	MLS1	Malate synthase 1 (EC 2.3.3.9)
P23500	MRS4	Mitochondrial RNA-splicing protein MRS4
P40050	MRX1	MIOREX complex component 1 (Mitochondrial organization of gene expression protein 1)
P40530	PKP1	[Pyruvate dehydrogenase (acetyl-transferring)] kinase 1, mitochondrial (PDK 1) (Pyruvate dehydrogenase kinase 1) (EC 2.7.11.2) (Protein kinase of PDH protein 1) (Pyruvate dehydrogenase complex kinase 1) (PDC kinase 1) ([Pyruvate dehydrogenase [lipoamide]] kinase 1)
P40960	PAC11	WD repeat-containing protein PAC11
P40959	MVP1	Sorting nexin MVP1
Q12457	NSI1	RNA polymerase I termination factor (NTS1 silencing protein 1)
P05066	PHR1	Deoxyribodipyrimidine photo-lyase, mitochondrial (EC 4.1.99.3) (DNA photolyase) (Photoreactivating enzyme)
P42836	PFA3	Palmitoyltransferase PFA3 (EC 2.3.1.225) (Protein fatty acyltransferase 3)
P40048	PTP3	Tyrosine-protein phosphatase 3 (EC 3.1.3.48) (Protein-tyrosine phosphatase 3) (PTPase 3)
P22289	QCR9	Cytochrome b-c1 complex subunit 9, mitochondrial (Complex III subunit 9) (Complex III subunit X) (Cytochrome c1 non-heme 7.3 kDa protein) (Ubiquinol-cytochrome c oxidoreductase subunit 9) (Ubiquinol-cytochrome c reductase 7.3 kDa protein)
Q12211	PUS1	tRNA pseudouridine synthase 1 (EC 5.4.99.-) (tRNA pseudouridylate synthase 1) (tRNA-uridine isomerase 1)
Q08096	RCL1	RNA 3'-terminal phosphate cyclase-like protein
P26754	RFA2	Replication factor A protein 2 (RF-A protein 2) (DNA-binding protein BUF1) (Replication protein A 36 kDa subunit)
P38615	RIM11	Serine/threonine-protein kinase RIM11/MSD1 (EC 2.7.11.1) (Regulator of IME2 protein 11)
P14291	RED1	Protein RED1 (Reductional division protein 1)
P32477	GSH1	Glutamate--cysteine ligase (EC 6.3.2.2) (Gamma-ECS) (GCS) (Gamma-glutamylcysteine synthetase)
Q12068	GRE2	NADPH-dependent methylglyoxal reductase GRE2 (EC 1.1.1.283) (3-methylbutanal reductase) (EC 1.1.1.265) (Genes de respuesta a estres protein 2) (Isovaleraldehyde reductase)
P25626	IMG1	54S ribosomal protein IMG1, mitochondrial (Integrity of mitochondrial genome protein 1) (Mitochondrial large ribosomal subunit protein bL19m) (PetCR46)
P30606	ITR2	Myo-inositol transporter 2
Q04746	KAR5	Nuclear fusion protein KAR5 (Factor-induced gene 3 protein) (Karyogamy protein 5)
P38131	KTR4	Probable mannosyltransferase KTR4 (EC 2.4.1.-)
Q07887	LDB18	Protein LDB18 (Low dye-binding protein 18)
P38851	LAM1	Membrane-anchored lipid-binding protein LAM1 (Lipid transfer protein anchored at membrane contact sites 1) (Yeast suicide protein 1)
P47051	AIM22	Putative lipoate-protein ligase A (EC 6.3.1.20) (Altered inheritance rate of mitochondria protein 22)
Q04396	LPP1	Lipid phosphate phosphatase 1 (EC 3.1.3.81) (Phosphatidate phosphatase) (EC 3.1.3.4)
P53083	MDM34	Mitochondrial distribution and morphology protein 34 (Mitochondrial outer membrane protein MMM2)
Q05568	PEX10	Peroxisome biogenesis factor 10 (Peroxin-10) (Peroxisomal biogenesis factor 10) (Peroxisome assembly protein 10)
P42946	PRM10	Pheromone-regulated membrane protein 10
P38958	PET100	Protein PET100, mitochondrial
P40508	YIL077C	PUP1 protein homolog
P40359	PSF2	DNA replication complex GINS protein PSF2 (Partner of Sld five 2)
P21264	ADE2	Phosphoribosylaminoimidazole carboxylase (EC 4.1.1.21) (AIR carboxylase) (AIRC)
P38086	RDH54	DNA repair and recombination protein RDH54 (RAD homolog 54) (Recombination factor TID1) (Two hybrid interaction with DMC1 protein 1) [Includes: DNA topoisomerase (EC 5.99.1.-); Putative helicase (EC 3.6.4.12)]
P32377	MVD1	Diphosphomevalonate decarboxylase (EC 4.1.1.33) (Ergosterol biosynthesis protein 19) (Mevalonate pyrophosphate decarboxylase) (Mevalonate-5-diphosphate decarboxylase) (MDD) (MDDase)
Q99271	NHA1	Na(+)/H(+) antiporter
P38205	NCL1	Multisite-specific tRNA:(cytosine-C(5))-methyltransferase (EC 2.1.1.202) (Multisite-specific tRNA:m5C-methyltransferase) (tRNA (cytosine-5-)-methyltransferase NCL1) (tRNA methyltransferase 4)
